plate,meaning,gpt_cluster_meaning,gpt_classification,zeroshot_cluster_meaning,zeroshot_classification,unified_gpt_classification,unified_zeroshot_classification
FKNJAYY,FUCKING JAY,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
HNC 72,"URBAN DICTIONARY SAYS HNC=HNIC, AN ACRONYM CONTAINING THE N WORD. 72=THE YEAR SHE WAS BORN",Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
NISMO J,NISMO IS THE TYPE OF NISSAN JUKE I OWN AND J IS FOR MY FOR FIRST NAME,Vehicle Related,8,Vehicle Related,0,3,3
SD14,WIFES INITIALS AND MY SONS DATE OF BIRTH,Personal Names and Sentimental Values,6,Weapons,3,6,4
PUFF N1,PUFF IS FOR PUFIN WHICH IS A BIRD. N MEANS IN. 1 AS IN GOLF HOLE IN ONE,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
B 7 KY,7 IS MY FAVORITE NUMBER AND KY IS WHAT PEOPLE CALL ME,Personal Names and Sentimental Values,6,Area Codes and Regional Pride,7,6,2
GDELEON,OWNERS NAME,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
MAMRED,LOVE MOM RED,Vehicle Related,3,Personal Names and Sentimental Values,5,3,6
QUIK II,THE CAR IS A CHEVY II (CHEVY 2) AND IT IS VERY QUICK,Vehicle Related,8,Vehicle Related,0,3,3
GRDEAD,ABBREVIATION FOR MY FAVORITE BAND THE GRATEFUL DEAD,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
PANDA13,PANDA THE ANIMAL AND GRADUATION YEAR,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
GOTAB18,A SPECIFIC TYPE OF HONDA MOTOR. A B18 IS A  MOTOR IN THE SPECIFIC BSERIES CLASS OF  HONDA,Vehicle Related,8,Vehicle Related,0,3,3
CATNI,MY WIFE AND I,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
JAPXCN,JAPANESE MEXICAN,Gang and Drug References,0,Area Codes and Regional Pride,7,0,2
D#KIKE,D FOR THE FIRST LETTER OF MY DAUGHTERS NAME AND DANIELA. KIKE IS FOR NICKNAME FOR MY SON ENRIQUE KIKE IS RACIST SLANG TOWARDS JEWISH PEOPLE.,Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
GOBLU23,UNIVERSITY OF MICHIGAN BAND SONG LETS GO BLUE 23 IS MY FAVORITE NUMBER,Personal Names and Sentimental Values,6,Area Codes and Regional Pride,7,6,2
OGDUZIT,NICKNAME,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
O9WOODY,CAR IS 2009 FORD FLEX WITH A FAKE WOODY  PAINT JOB,Vehicle Related,8,Vehicle Related,0,3,3
18HD BYZ,18-HITLER,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
AOB 4ME,All of Books 4 Me To Read,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
JIVECAT,COOL GUY,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
AHHDAMN,JUST MY EVERYDAY EXPRESSION EVERYTIME I SEE AN AWESOME OR FUNNY STUFF I TEND TO SAY OHH DAMN. THANK YOU!,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
GT 5O CS,2011 MUSTANG GT CALIFORNIA SPECIAL,Vehicle Related,8,Vehicle Related,0,3,3
1BLKBOX,ONE BLACK vagina  bad words,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
TNT12B,TNT12B,Weapons,4,Vehicle Related,0,4,3
69  VA,"69, no 1969 car on ani",Vehicle Related,8,Vehicle Related,0,3,3
2REDRUM,MURDER,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
VRGON,NAME,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
KATITUD,"ATTITUDE, CATTITUDE. WILL BE ON A JAGUAR.",Vehicle Related,8,Vehicle Related,0,3,3
TLB8888,TLB IS MY NAME . NUMBER 8 IS LUCKY NUMBER.,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
L9NEGRA,MY TRUCK IS ALL BLACK SO I CALL HER LA NEGRA. ITS A SPANISH MEANING FOR A BLACK TRUCK,Vehicle Related,3,Vehicle Related,0,3,3
U2RNEXT,THREATENING? YOU TOO ARE NEXT,Explicit and Vulgar Language,2,Weapons,3,1,4
CRXXXAL,"CRYSTAL, A GIRLS NAME. WITH THREE X IN PLACE OF Y, S AND T.",Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
7MACK,US ARMY VETERAN,Weapons,4,Vehicle Related,0,4,3
SUPR TCO,SUPER TACO. COULDNT VERIFY TOYOTA,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
CODE MKY,CODE MONKEY IS A NICKNAME FOR SOFTWARE DEVELOPERS - WHICH I AM.,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
ESKLAID,"HAS A 2015 CADI, PULLED BECAUSE OF THE WAY LAID IS SPELLED, A SEXUAL CONNOTATION",Sexual References,5,Sexual References,4,5,5
7YDP18,18-HITLER,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
3B$CHON,WE OWN 3 BICHON FRISE DOGS. THIS IS NOT A SWEAR WORD.3 BITCHIN,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
78SC911,THE CAR IS A 1978 MODEL YEAR PORSCHE 911 AND IN THAT YEAR IT WAS CALLED A 911SC,Vehicle Related,8,Vehicle Related,0,3,3
CHP1969,REFERS TO THE YEAR OF MANUFACTURE AND  FORMER AGENCY FOR WHICH THE CAR USED TO SERVE,Vehicle Related,8,Vehicle Related,0,3,3
FACT5O,"FUCK 5O, POLICE REFERENCE",Weapons,4,Explicit and Vulgar Language,1,4,1
HNTRTRK,HUNTERS TRUCK,Vehicle Related,8,Vehicle Related,0,3,3
F4OEATR,"MY LAST CAR, AN F40 BIT IT & THIS IS MY REPLACEMENT",Vehicle Related,8,Vehicle Related,0,3,3
G WULF,IT MEANS GRAY WULF NATIVE AMERCAN NAME.,Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
MNT MRDR,PULLDED FOR MRDR = MURDER?,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
OMW7FYB,ON MY WAY FUCK YOU BITCH,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
HH 20,INITIALS AND BIRTHDAY,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
707 OMG,MY CAR HAS 707 HORSEPOWER. SO OH MY GOD JUST EMPHASIZES.,Vehicle Related,8,Vehicle Related,0,3,3
SNWBNDT,SNOW BANDIT. MEANING I LOVE THE SNOW.,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
MAXATTK,MAXIMUM ATTACK,Explicit and Vulgar Language,2,Weapons,3,1,4
HUMMY,"NICKNAME FOR VEHICLE, WHICH IS A HUMMER H3.",Vehicle Related,8,Vehicle Related,0,3,3
BSD 88.00,INITIALS OF MY FULL NAME 88 IS GOOD FENG SHUI,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
OHELLNA,OH HELL NO!,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
G TIMES,GOOD TIMES,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
BRAAP88,COMPANY NAME - BRAAP - ITS THE SOUND A MOTORCYCLE MAKES WHEN ITS ON THE THROTTLE. 1988 YEAR OF THE VEHICLE,Vehicle Related,8,Vehicle Related,0,3,3
GMR BAE,GAMER BABE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
MSCL 5OH,PULLED FOR 5O,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
5O KLBR,50 CALIBAR-GUNS,Weapons,4,Weapons,3,4,4
1KLR67,ONE KILLER MUSTANG 67,Vehicle Related,8,Vehicle Related,0,3,3
MY FJ14,MY FJ CRUISER 2014,Vehicle Related,8,Vehicle Related,0,3,3
BRAWL,BRAWLER,Explicit and Vulgar Language,2,Weapons,3,1,4
O8STAR8,DAUGTHER NAME IN MEMORY,Gang and Drug References,0,Gang and Drug References,2,0,0
NOT4U2K,NOT FOR YOU TO KNOW,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
TNT&RDH,DYNOMITE REGISTERED DENTAL HYGIENIST,Weapons,4,Vehicle Related,0,4,3
DJ GATO,DJ NAME,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
8BADGER,ATE BADGER,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
KYLSTRK,KYLES TRUCK,Vehicle Related,8,Vehicle Related,0,3,3
PPSYKAT,PURPLE SILVER CAT PUSSY CAT,Cats and Pets,7,Cats and Pets,6,7,7
GNS2REV,GENESIS TO REVELATION,Explicit and Vulgar Language,2,Sexual References,4,1,5
67 428HO,67= CAR YEAR 428= ENGINE SIZE HO= HIGH OUTPUT MOTOR,Vehicle Related,8,Vehicle Related,0,3,3
FUCTRMP,FUCK TRUMP,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
FDAPOPO,FAMILY PETS NAME,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
JFZME,"MY FIRST INITIAL, MY WIFES FIRST INITIAL, AND THE FIRST INITIALS OF OUR CHILDREN.",Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
SECAMDT,"SECOND AMENDMENT SECOND AMENDMENT, GUN REFERENCE",Weapons,4,Weapons,3,4,4
$2EAT P,LOVE TO EAT PUSSY,Explicit and Vulgar Language,2,Sexual References,4,1,5
IHV2SHT,I HAVE TO SHOOT (BASKETBALL),Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
POLIZE1,POLIZE = GERMAN FOR POLICE,Gang and Drug References,0,Vehicle Related,0,0,3
GANG PAO,THIS IS MY NICKNAME IN CHINESE,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
DAMTGRM,"DAMMIT, PROFANITY",Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
ZILL4,LOOKS SIMILAR TO ZILLA WHICH IS A GANG REFERENCE (Has 2015 Dodge Coup),Gang and Drug References,0,Vehicle Related,0,0,3
NJYABWL,ENJOY A BOWL (MARIJUANA REFERENCE) OR ENJOYABLE,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
HONDO13,NAME AND LUCKY NUMBER,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
DE666VL,MY FAVORITE NUMBERS AND DEV IS MY WIFES NAME. L IS LAST INITIAL,Personal Names and Sentimental Values,6,Vehicle Related,0,6,3
T WILLI,Tyler Williams,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
MTF BWM,"MTF MOTHER FUCKER male to female transexual 523 Up, 129 Down",Sexual References,5,Sexual References,4,5,5
13E13 A,"13 (TERA) IN PUNJABI MEANS YOURS. COMPLETE MEANING OF PLATE IS THAT HE ALMIGHTY GOD, ALL IS YOURS",Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
BEEZYYY,ANOTHER WORD FOR BITCH,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
NUTS 4RV,ALMOND FARMERS RV,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
INIM OG,GO MINI (BACKWARDS),Explicit and Vulgar Language,1,Vehicle Related,0,1,3
USA GOV,USA Government,Explicit and Vulgar Language,2,Area Codes and Regional Pride,7,1,2
HULK818,FAVORITE CARTOON,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
MY1KITT,KNIGHT RIDER SHOW,Vehicle Related,8,Vehicle Related,0,3,3
DANI 13,NICKNAME AND LUCKY NUMBER,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
S55O FTW,S55O FOR THE WIN,Explicit and Vulgar Language,2,Sexual References,4,1,5
KUHNS,"MY LAST NAME, A GIFT FOR MY DAD",Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
4 NEG RA,"NEGRA=BLACK, SOME SIMILAR PLATES ARE OUT BUT A COUPLE ARE UNACCEPTABLE",Vehicle Related,3,Explicit and Vulgar Language,1,3,1
BLUEVAS,my car is blue and my name is vas,Vehicle Related,3,Vehicle Related,0,3,3
1MOBMRS,AN AIR FORCE UNIT I WAWS IN AND THE MRS IS FOR MY WIFE,Weapons,4,Personal Names and Sentimental Values,5,4,6
LMU13BR,THE UNIVERSITY HE GRADUATED FROM LOYOLA MARYMOUNT,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
AK47 2A,AK 47 GUN,Weapons,4,Weapons,3,4,4
STLR714,NOT ON QUICKWEB YET,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
8CHNGON,MY NICKNAME,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
805 TACO,805 IS MY AREA CODE AND TACO IS THE VEHICLE THAT THE PLATE IS GOING ON ITS A TACOMA PICKUP TRUCK,Area Codes and Regional Pride,9,Vehicle Related,0,2,3
OGOVOLT,MY ELECTRIC CAR,Vehicle Related,8,Vehicle Related,0,3,3
GSWAGG,IT ALLUDES TO THE NAME OF THE CAR.  (G WAGON),Gang and Drug References,0,Vehicle Related,0,0,3
86868,GOOD LUCK NUMBERS,Personal Names and Sentimental Values,6,Vehicle Related,0,6,3
SCAT2NV,FOR A 2015 DODGE CHALLENGER SCAT PACK TO ENVY,Vehicle Related,8,Vehicle Related,0,3,3
TRQ*STR/,TORQUE STEER,Vehicle Related,8,Vehicle Related,0,3,3
BYRNE88,LAST NAME AND YEAR I WAS BORN,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
SPC MKNY,SPACE MONKEY,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
SAMRA 13,MY LAST NAME,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
RUBRITA,RUB RITA,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
EST6T9,YEAR I WAS BORN,Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
1WARCAT,ONE WAR CAT,Cats and Pets,7,Cats and Pets,6,7,7
CRAAACK,WHEREVER I GO PEOPLE TURN THEIR NECKS TO LOOK AT THE CAR,Vehicle Related,8,Vehicle Related,0,3,3
RYDETHS,RIDE THIS,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
QUIK 51O,QUICK DATSUN 51O,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
NGRTMSA,NGR STANDS OUT… SPANISH SONG NEGRA TOMASA ABOUT A DARK/BLACK WOMAN. DIDN’T TRANSLATE THE SONG.,Vehicle Related,3,Vehicle Related,0,3,3
FOREXXX,FOREIGN CURRENCY EXCHANGE (FOREX WAS TAKEN),Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
FLINT G,MY NAME,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
CHP NO,"MY CHILDHOOD PETS NAME WAS CHIP, AND I WOULD ALWAYS TELL HIM NO. HE WAS LATER RAN OVER AND NOW THIS IS A MEMORIAL FOIR HIM.",Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
ARSLYN,FIRST NAMES,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
BLUBARU,THIS PLATE WILL BE ON A BLUE SUBARU. BLU-BARU,Vehicle Related,8,Vehicle Related,0,3,3
559RAZA,PEOPLE FROM MY AREA CODE,Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
FKH8ERS,FUCK HATERS,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
HB RIDIN,HB CAN ALSO MEAN HOT BITCH。 HOT BITCH RIDING,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
ORALE G,IT MEANS WHATS UP GEORGE,Gang and Drug References,0,Personal Names and Sentimental Values,5,0,6
SUUMB CH,SOME BITCH; SON OF A BITCH,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
BIGPKG,NAME OF MY BUSINESS,Personal Names and Sentimental Values,6,Cats and Pets,6,6,7
ON K1LL,"PULLED FOR KILL,  ON KILL WAS DENIED IN 2012",Explicit and Vulgar Language,2,Weapons,3,1,4
BKBETY 3,BLACK BETTY VERSION 3 BLACK IS THE COLOR,Vehicle Related,3,Vehicle Related,0,3,3
KNFEGUY,I AM A KNIFE COLLECTOR SO I AM A KNIFE GUY,Explicit and Vulgar Language,2,Weapons,3,1,4
INGA TU,I UNDERSTAND,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
TAMA14,SONS NAME,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
1 BLK GUY,IT MEANS 1 BULKY (MUSCULAR) GUY,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
ARY5OH,MY NAME WITH THE CAR I DRIVE,Vehicle Related,8,Vehicle Related,0,3,3
PITOLCO,PITO IS SPANISH SLANG FOR PENIS,Gang and Drug References,0,Sexual References,4,0,5
DON BH8N,THE PLATE SPELLS OUT DON’T BE HATING. IT’S A JOKE MY BETTER HALF AND I HAVE,Gang and Drug References,0,Vehicle Related,0,0,3
SMASHRS,SMASH A SEXUALREFERENCE shash her,Sexual References,5,Sexual References,4,5,5
OG AUTO,MY BUSINESS NAME,Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
LIVNBCH,LIVE ON BEACH,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
2THEBLU,TO THE OCEAN,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
DUYOUGU,FEELING IN TURKISH LANGUAGE DUYGU,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
$2 RAGE,RAGE AGAINST THE MACHINE IS A BAND THAT I LOVE! ITS ONE OF MY FAVORITES,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
KODA B,LOOKS LIKE KODA BITCH,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
AKNZR88,MY LAST NAME AND LUCKY NUMBERS,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
GO8BLUE,UNIVERSITY OF MICHIGAN FAN!,Explicit and Vulgar Language,2,Area Codes and Regional Pride,7,1,2
GTHOM88,MISSISSIPPI STATE ALUMNI CHEER AND YEAR GRADUATED,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
SPTHLK,SPECIAL K IS A SLANG WORD FOR A TYPE OF DRUG,Gang and Drug References,0,Gang and Drug References,2,0,0
JABRONY,JABRONI - A PRO WRESTLER THAT LOSES ON PURPOSE TO MAKE THE OTHER WRESTLER LOOK GOOD,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
NGKA PLZ,NIGGA PLEASE,Explicit and Vulgar Language,2,Sexual References,4,1,5
559MADE,BORN IN FRESNO 559 AREA CODE,Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
POGIBLZ,"pogi=handsome in Tagalog, looks like pogi balls though…",Gang and Drug References,0,Personal Names and Sentimental Values,5,0,6
SRF NAKD,PULLED FOR NAKED,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
KCKRZ23,SHOES,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
SHIV OO7,"SHIV IS NAME OF OUR SON, AND 007 IS REFERED TO JAMES BOND.",Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
RETRO AF,RETRO AS FUCK,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
IMPS 213,IM POSITIVE 2 1 THING,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
SVR ARRW,SILVER ARROW,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
DRNX PNK,I DRINK A DRINK CALLED SLIM AND ITS PINK,Explicit and Vulgar Language,2,Sexual References,4,1,5
K16 K08,MY SON AND DAUGHTERS INITIAL WITH THE YEAR THEY WERE BORN,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
FJU ALL,"MODEL OF THE VEHICLE, TO HAVE FUN WITH MY FAMILY",Vehicle Related,8,Vehicle Related,0,3,3
GAY,"Homosexual, gay",Explicit and Vulgar Language,2,Sexual References,4,1,5
O71829P,"07,18 AND 29 ARE THE BIRTHDATES AND P WILL BE THE FIRST LETTER OF OUR LAST NAME",Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
BLUSCRZ,I LOVE LISTENING TO THE BLUES WHILE IM RIDING THE MOTORCYCLE.,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
BLESS69,BLESS BY THE LORD 69 TIMES,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
MI6 SPY,JAMES BOND,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
ONEAKA,ONEAKA CAN SOUND LIKE OH NIGGA OR OH NICCA,Explicit and Vulgar Language,2,Sexual References,4,1,5
INDICA,CLASSICAL GREEK AND LATIN FOR OF INDIA,Explicit and Vulgar Language,2,Area Codes and Regional Pride,7,1,2
IWANTSX,I WANT SEX,Sexual References,5,Sexual References,4,5,5
AMP EATR,ELECTRIC VEHICLE EATS AMPS FOR POWER.,Vehicle Related,8,Vehicle Related,0,3,3
TT LTD,AUTO IS AN AUDI TT LIMITED EDITION,Vehicle Related,8,Vehicle Related,0,3,3
DAM WGN,MY INITIALS-,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
SHAYDUB,"MY FIRST NAME SHORTENED, AND INITIAL OF MY LAST. SHAY W",Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
OPNWIDE,open wide,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
BFD E 51,IT WAS THE DEPARTMENT I VOLUNTEERED FOR IN NH.,Weapons,4,Vehicle Related,0,4,3
AMG13,INITIALS + NUMBER,Personal Names and Sentimental Values,6,Vehicle Related,0,6,3
ALCHAPO,EL CHAPO,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
14U269,"ONE FOR YOU TO 1969 69, SEXUAL REFERENCE",Vehicle Related,8,Sexual References,4,3,5
GATUR6,A COMMON MILITARY TERM MEANING: I GOT  YOUR BACK,Weapons,4,Weapons,3,4,4
GONNER,GONNERS CAR CLUB MEMBER,Vehicle Related,8,Vehicle Related,0,3,3
JYAG18,FAMILY FIRST INITIAL AND LUCKY NUMBER,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
STANG13,MUSTANG GT 2013,Vehicle Related,8,Vehicle Related,0,3,3
AMG BS,MODEL NAME OF VEHICLE,Vehicle Related,8,Vehicle Related,0,3,3
PNK 8NGL,PINK ALNG FOR VAGINA,Sexual References,5,Sexual References,4,5,5
NEGRA 14,"BLACK TRUCK, YEAR 2014",Vehicle Related,8,Vehicle Related,0,3,3
BUDDY14,NICKNAME,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
NEGRA69,BLACK 69. ITS GOING ON AN ALL BLACK 1969 CHEVELLE.,Vehicle Related,8,Vehicle Related,0,3,3
FU GREEN,FU (CHINESE SURNAME) GREEN,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
DGR515O,MY INITIALS AND PERSONALITY,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
69CNCPT,1969 PONTIAC GTO CONCEPT CAR,Vehicle Related,8,Vehicle Related,0,3,3
SICK ASF,SUICK AS FUCK,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
R8ED R,"THIS IS FOR A VOLKSWAGEN GOLF R, HUMOROUS PLAY ON MOVIE RATING - RATED R",Vehicle Related,8,Vehicle Related,0,3,3
9O9 GT5O,AREA CODE OF CAR LOCATION AND MODEL OF THE CAR,Area Codes and Regional Pride,9,Vehicle Related,0,2,3
IN666US,WEDDING ANNIVERSARY,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
$NPLANB,LOVING PLAN B,Sexual References,5,Vehicle Related,0,5,3
CHAPO15,"CHAPO TRANSLATE TO SHORT WHERE IM FROM,  IM SHORT AND THEY CALL ME CHAPO",Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
SLAYYYR,"THIS PLATE IS A TRIBUTE TO MY FAVORITE ROCK BAND, SLAYER. EXTENDED SPELLING REPRESENTS THE WAY FANS GREET THE BAND AT CONCERTS.",Gang and Drug References,0,Weapons,3,0,4
8O5PASO,AREA CODE AND PASO ROBLES,Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
WYU H8NN,WHY YOU HATING?,Explicit and Vulgar Language,1,Vehicle Related,0,1,3
TANQUE,TANK AS IN ARMY,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
MR PSI,LOOKS LIKE A SEXUAL REFERENCE,Sexual References,5,Sexual References,4,5,5
BLAQ BOX,BLACK BOX,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
YNWA RED,YOULL NEVER WALK ALONE IS ASSOCIATED WITH LIVERPOOL FOOTBALL CLUB. RED IS THE COLOR OF THEIR JERSEY,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
WUDLIMO,WOOD LIMO GOING TO BE PUT ON A TRUCK USED FOR HAULING FIREWOOD.,Vehicle Related,8,Vehicle Related,0,3,3
TT 4 MNT,AUDI TT FOR MIKE AND TINA,Vehicle Related,8,Vehicle Related,0,3,3
EJ2OG,SUBARU MOTOR NUMBER,Vehicle Related,8,Vehicle Related,0,3,3
WUACHAA,ITS A SLANG WORD FOR LOOK CUSTOMER MEANING IS TRUE(FROM ENGLISH WORD WATCH) BUT IN ARGENTINA IT IS USED (GUACHA) LIKE BASTARD . WUACHA HAS BEEN OUT SINCE 2006,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
C8H18 X,CHEMICAL COMPOSITION OF OCTANE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
PROFANE,CALL SIGN,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
BLKHMR,BLACK HAMMER (NICKNAME),Vehicle Related,3,Vehicle Related,0,3,3
CAVERAO,means skull in Portuguese (which is slang for oral sex in English) also means Special Police Armored Vehicle in Brazil,Gang and Drug References,0,Vehicle Related,0,0,3
PIE ASO,COMBINING THE TWO CREATES THE SOUND OF MY NICKNAME THAT IS PAYASO WHICH MEANS CLOWN IN SPANISH AND IS TAKEN ALREADY,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
FYREPIG,"OWNER OF FIREPIG TACTICAL, LLC A SPECIALTY SPORTING GOODS RETAILER",Personal Names and Sentimental Values,6,Vehicle Related,0,6,3
3BTCHES,LOOKS LIKE 3 BITCHES,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
SEPPUKU,ITS THE TRADITIONAL DEATH OF A SAMURI IN JAPANESE CULTURE,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
DGRS 13,DODGERS 13,Explicit and Vulgar Language,2,Gang and Drug References,2,1,0
OG HCAT,ORIGINAL HELLCAT,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
BLAK 911,BLACK PORSCHE 911,Vehicle Related,8,Vehicle Related,0,3,3
L8R 5 O, LATER POLICE,Weapons,4,Vehicle Related,0,4,3
CRM PIE,CREAM PIE,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
8O5HNTR,SANTA BARBARA HUNTER,Explicit and Vulgar Language,2,Area Codes and Regional Pride,7,1,2
A113FNS,A113 IS A INSIDE MOVIE JOKE OR EASTER EGG FOR AUDIENCES TO FIND IN PIXAR MOVIES SO THE PLATE MEANS PIXAR FANS,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
OH GIZZ,ARMY UNIT/NAME,Weapons,4,Explicit and Vulgar Language,1,4,1
