,plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
383,DABLUE,THE GIRL FROM THE BLUE SIERRA,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
384,DEZERTG,MY LOVE FOR THE DESERT AND MY MIDDLE INITIAL,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
385,DLRA113,"DLR DISNEYLAND RESORT ACRONYM, FAVORITE  PLACE TO VISIT. A113- PIXAR HIDDEN EASTER EGGS THAT APPEAR IN ALL MOVIES.",Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Diverse Personal Expressions
386,DONKEY1,A NICKNAME THAT SUGGESTS THE VEHICLE IS A  WORK HORSE AND CARRIES HEAVY LOADS,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
387,FOGIVEN,FORGIVEN BY GOD,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
388,FYSHSTX,I LIKE THE BANDS PHISH AND STYX. ITS A PLAY  ON WORDS.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
389,GARYS14,MY NAME AND YEAR,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
390,GJEEP15,GAYLE'S 2015 JEEP,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
391,GPEACH,GEORGIA PEACH,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Colors and Descriptive Traits,Area code and Numbers
392,HECROD,INITAIL OF FIRST AND LAST NAME,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
393,JOYFLJ,IT STANDS FOR JOYFUL JULIANNA (MY  DAUGHTER'S NAME),Diverse Personal Expressions,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
394,KDUB35,KEVIN DURANT #35 WARRIORS BASKETBALL,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
395,KWIKKAT,QUICK CAT ( JAGUAR!),Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
396,LCKY713,FAVORITE NUMBERS,Area code and Numbers,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers
397,MLOYEL,COLOR,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
398,MMMBACN,BACON IS GOOD,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
399,RFTC,"RFTC IS THE INITIALS OF MY FAVORITE LOCAL  BAND, ""ROCKET FROM THE CRYPT"".",Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
400,RVOODOO,TYPE OF CAR MOTOR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
401,SLUG69,BEETLE BUG AND YEAR,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
402,SRIWAY,"""SRIWAY"" IS A COMBINATION OF ""SRI"" FOR MY  FIRST NAME AND ""WAY"" FOR THE WAY I TRAVEL.",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
403,TACHULO,SALVADOREAN WORD (BEAUTIFUL),Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
404,TEAMM4,REPRESENTS COMPANY SUCCESS,Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
405,TRPR887,STAR WARS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
406,WCKEDRS,WICKED RS,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions
407,WLDKAT,WILD CAT AS IN JAGUAR,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
408,1GOOFBL,I AM A GOOFBALL,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
409,4CYLDSL,SMALL DIESEL ENGINE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
410,69GRACE,IT'S A 1969 CAMARA THAT WE HAVE NAMED GRACE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
411,76BLAZ,"YEAR OF TRUCK, MODEL BLAZER",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
412,IGAYPS,IT'S THE #ILOVEGAYPALMSPRINGS FOR TOURISM  IN THE DESERT ASSOCIATED WITH OUR WEBSITE GAYDESERTGUIDE.COM,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
413,FAIRYTL,FAIRY TALE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
414,SAWCY,SAUCEY,Diverse Personal Expressions,Business and University Identities,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
415,GDTAHOE,INITIAL'S FOR GLORIES DIAZ AND LOCATION OF HOME,Diverse Personal Expressions,Colors and Descriptive Traits,Area code and Numbers,Personal and Family names,Diverse Personal Expressions
416,ANNICKA,MY NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
417,BLAUM2,BLAU IS GERMAN FOR BLUE. THE CAR IS A BLUE  BMW.,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
418,BLUER2,"""BLUE"" REFERS TO THE COLOR BLUE. ""R2"" REFERS TO THE STAR WARS CHARACTER ""R2-D2"" (A SMALL DROID)",Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits,Diverse Personal Expressions
419,GMO,WHAT GRANDCHILDREN CALL THEIR GRANDMOTHER,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
420,NETSM4,JANETTES M4,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
421,NVUSGS,"THE ""NVUS"" IS MY CAR CLUB AND ""GS"" IS THE  MAKE OF MY CAR",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes
422,KONAKAT,KONA HAWAII IS MY FAVORITE PLACE AND KAT IS MY NICKNAME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
423,MELSBLU,MELA'S BLUEBERRY (BLUE CAR BELONGING TO MELA),Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
424,BLSBAMS,BLESS BAMS BALLS??,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
425,I M 666,666 MARK OF THE BEAST,Area code and Numbers,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
426,RL HICKS,HICK DEROGATORY TERM,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
427,BLUEII,SECOND BLUE SUBARU,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
428,BLUGENI,NAME OF VEHICLE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
429,DMND/BLU,BLUE IS A GANG RELATED COLOR,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
430,HRTSOGD,NAME OF SONG. MANY THINGS WORTHWILE TAKE SOME PAIN BUT ARE WORTH IT.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
431,LOLPU2,LAUGH OUT LOUD P.U. (STINK) 2,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
432,RAT/GASR,RAT IS A NAME FOR A SNITCH OR INFORMANT,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
433,RAT/TIGR,"CAR IS A SUNBEAM TIGER, NOT IN CONCOURSE (SHOW) CONDITION.",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
434,REDWGEN,RED VW SPORTSWAGEN,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
435,SFBLUES,SAN FRANCISCO BLUES. BLUE IS A GANG RELATED COLOR,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Business and University Identities
436,WET/FLY,TYPE OF FLY FISHING W/ WET LURE NOT DRY,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
437,65**RED,RED IS A GANG RELATED COLOR,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits
438,IRENE13,FIRST NAME & VEHICLE YEAR,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
439,ONEAKA,ONEAKA CAN SOUND LIKE OH NIGGA OR OH NICCA,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
440,JCM S13,MY INITIALS PLUS THE CAR'S CHASSIS CODE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
441,JUN KAT,NICKNAMES OF OWNERS,Business and University Identities,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
442,KIKN BK,BK = BLOOD KILLER,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
443,LILNUTZ,A LITTLE CRAZY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
444,LTILRED,WE CALL OUR CAR LITTLE RED.,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
445,LUVMY M4,M4 IS AN ASSAULT RIFLE,Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
446,NUT JOB,"WE ARE THE OWNERS OF STACY FARMS, ALMOND PRODUCERS, MAKING OUR JOB  A NUT JOB, HENCE THIS LICENSE PLATE IS A REFERENCE TO OUR ACTUAL JOB OF PRODUCING NUTS.",Business and University Identities,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions
447,PPA RED,RED = GANG COLOR,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
448,ROKIN88,PLATE IS FOR A 1957 OLDSMOBILE 88 ROCKING 88,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
449,RS 231,"PULLED FOR ""RS"" WHICH CAN MEAN ""REAL SHIT""",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
450,WSKI64,USS WISCONSIN BB64,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
451,BCHCOMR,HOBBY,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
452,BLU BLIT,BLUE BULLET,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
453,CALARMS,FIREARM CO CALIFORNIA FIREARMS,Business and University Identities,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers
454,GAYTAN4,LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
455,LADBLUE,DODGER FAN,Business and University Identities,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Pet and Animal Themes,Business and University Identities
456,PINKEEE,PINKY MY HUSBANDS NICK NAME FOR ME,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
457,ROVER13,2013 RANGER ROVER CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
458,INAM69,I WAS IN VIET NAM IN 1969,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
