plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
BIG BLU1,BIG BLUE #1,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
BAGDBUM,CAR IS ON AIR BAGS,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
G88888Y,THE G AND THE Y ARE MY INITIALS. 88888 STANDS FOR PROSPERITY IN CHINESE CULTURE.,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Personal and Family names,Area code and Numbers
HH 20,INITIALS AND BIRTHDAY,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
RMV5150,"RMV - RANCHO MISSION VIEJO, THE CITY WE LIVE IN. 5150 IS SLANG FOR CRAZY PERSON",Business and University Identities,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers
TOPOGJO,PHONETIC SPELLING OF TOPO GIGIO THE LITTLE ITALIAN MOUSE,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
666 STR8,666 DEVIL,Area code and Numbers,Gang Color and Controversial Affiliations,Area code and Numbers,Area code and Numbers,Area code and Numbers
BLUSCRZ,I LOVE LISTENING TO THE BLUES WHILE I'M RIDING THE MOTORCYCLE.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
P14CD64,14-HITLER RELATED. NO 2014 CAR,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
MR BLVCK,I AM BLACK. ALL MY FRIENDS CALL ME MR BLACK. THANK YOU,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions
REDSURF,MUSIC BAND NAME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
RED TOP,"REFERENCE TO COMPANY, RED TOP SPORT CENTER IN STOCKTON CA.",Colors and Descriptive Traits,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
REDWN,OPERATION RED DAWN IRAQ,Business and University Identities,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
REDVF1J,RED VERITECH FIGHTER JET FROM CARTOON ROBOTOECH,Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
BLU HWY,BLUE-GANG,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
DRDPLLO,XBOX GAMERTAG: DAREDPOLLO,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
HELLRAT,CHEVY EATER,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
TV 5O,TERESA VARGAS INITIALS. 50 FOR 1950 DOB,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MYTNT WT,TNT=DYNAMITE,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions
GMACAT,GRANDMA CARLA ANN TALAVERA,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
BBIG RED,RED,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
PTSZTNT,PINT SIZED DYNAMITE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HE S TNT,"MY MOTHER HAS ""SHES DYNAMITE"" AND I THOUGHT IT WOULD BE NEAT IF I HAD ""HE'S DYNAMITE""",Diverse Personal Expressions,Personal and Family names,Personal and Family names,Pet and Animal Themes,Personal and Family names
$FOOFY,IN LOVING MEMORY OF MY BROTHER,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ABYC 14,alamitos bay yacht club 2014,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
SCLPL,A PRECISION MACHINE/INSTRUMENT LIKE A SCALPEL,Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes
4SKIDAZ,MY 4X4 JEEP IS?? FOR SKIING DAYS,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
FAM$RED,RED=GANG COLOR,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
G$TZKHA,PLATE MEANING IS LEFT BLANK,Vehicle and Car Descriptions and Attributes,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
C8H18 O2,PART OF THE CHEMICAL FORMULA FOR GASOLINE COMBUSTION,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
HTNLVWU,HOT IN LOVE WITH YOU,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MON TT,MY NAME IS MONTE AND MY CAR IS AN AUDI TT - SO WHEN YOU PUT THEM TOGETHER - YOU GET MONTT,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BLUTOAD,BLUE TOAD LIKE MARIO BROS,Diverse Personal Expressions,Pet and Animal Themes,Gang Color and Controversial Affiliations,Pet and Animal Themes,Pet and Animal Themes
BEACH SS,LICEANSE PLATE WILL GO ON A 1967 SUPPER SPORT (SS) CAMARO,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BLU HAIR,IT'S FOR A BLUE VW RABBIT AKA HARE BUT BLU HARE IS TAKEN,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
GRASSKA,GRASSKA IS MY LAST NAME,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
KING BLK,BLACK KING,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Pet and Animal Themes,Diverse Personal Expressions
MBULITT,THE NAME OF THE CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
REDBRDS,I AM FAN OF ST LOUIS CARDINALS,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
RED BUS,ITS GOING ON MY RED VAN THAT WE CALL A BUS CAUSE ITS SO BIG,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
4FNCPTS,FOR FANCY PANTS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CLN TDI,CLEAN TDI (DIESEL),Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
HELLC16,HELLCAT 2016 NAME OF THE DODGE CHALLENGER CAR MODEL,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
HL2SKNS,HEAL YOUR SKIN,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
JK IVXIV,JEEP MODEL JK 4X4 WHEEL DRIVE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
SEXY 7XL,1967 FORD XL,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
SHEN 666,SHEN IS MY LAST NAME AND 666 MEANING GOOD LUCK IN CHINESE CULTURE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
1FLINT3,LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
515O ONE,5150 CRAZY ONE,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
F8NJEUS,FIGHTING,Business and University Identities,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations
MY 13 ZL1,YEAR OF CAR AND MAKE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
I8MY911,ATE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
ASALA1,COMPANY NAME,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BARRIO1,MY HOME TOWN'S NAME,Business and University Identities,Personal and Family names,Diverse Personal Expressions,Area code and Numbers,Vehicle and Car Descriptions and Attributes
BLUAPPL,MY STUDIO NAME,Personal and Family names,Business and University Identities,Business and University Identities,Diverse Personal Expressions,Business and University Identities
DIEGOO,IT'S THE NAME OF MY SON,Personal and Family names,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names
GT RICE,GOT RICE?,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
K2LIM2N,CAN NOT TRANSLATE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
MMVII V,"2007 (IN ROMAN NUMERALS) FOR THE CAR'S YEAR, AND 'V' FOR THE FACT IT IS A CADILLAC CTS-V.",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1973 CAT,THE CAR IS A 1973 MERCURY COUGAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
VA TECH,"IT STANDS FOR THE COLLEGE, ""VIRGINIA TECH""",Business and University Identities,Business and University Identities,Business and University Identities,Business and University Identities,Business and University Identities
TRUS GRL,"TRUS IS SHORT FOR ""TRUMAN'S"". AND GRL IS SHORT FOR ""GIRL"".",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
REAL 707,707 HORSEPOWER,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
BLK2TUD,BLACK ATTITUDE- THE MANUF. COLOR NAME,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits
BLU DOG,"BLUE DOG, THE NAME OF OUR DOG",Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
DADYPIG,FROM A TV SHOW CALLED PEPPA PIG. THEY CALL THE DAD 'DADDY PIG',Diverse Personal Expressions,Pet and Animal Themes,Personal and Family names,Pet and Animal Themes,Pet and Animal Themes
DTLV51O,CLASSIC NICE LOOKING CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
END AIDS,END AIDS,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
FCEVIPR,"IT MEANS MY NAME+VIDEO GAME NAME:FRANCISCO CRUZ VIPER, THIS IS MY VIDEO GAME NAME",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
FTZYMBZ,"IM A FUTZY PERSON WHO SOMETIMES FORGETS TO DO THINGS BUT I OWN A MERCEDES BENZ, I KNOW THAT",Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
GAYS351,MY NAME IS GAY AND THE VEHICLE MODEL IS A '351',Vehicle and Car Descriptions and Attributes,Area code and Numbers,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
KFKAESK,"THIS IS A JOKE REGARDING THE WORK OF FRANZ KAFKA, WHO NONETHELESS HAD A CLUE",Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
L PPRPAU,ESPANIS SONG,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LRG RED,IT IS A BIG STATION WAGON THAT IS PAINTED RED,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
MAD RAG,CAR NICKNAME. RAGTOP VW BUG,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
MAN2ING,OWNER'S NICKNAME,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
