plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
MMMBACN,BACON IS GOOD,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
RFTC,"RFTC IS THE INITIALS OF MY FAVORITE LOCAL  BAND, ""ROCKET FROM THE CRYPT"".",Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
RVOODOO,TYPE OF CAR MOTOR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
SLUG69,BEETLE BUG AND YEAR,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
SRIWAY,"""SRIWAY"" IS A COMBINATION OF ""SRI"" FOR MY  FIRST NAME AND ""WAY"" FOR THE WAY I TRAVEL.",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
TACHULO,SALVADOREAN WORD (BEAUTIFUL),Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
TEAMM4,REPRESENTS COMPANY SUCCESS,Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
TRPR887,STAR WARS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
WCKEDRS,WICKED RS,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions
WLDKAT,WILD CAT AS IN JAGUAR,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
1GOOFBL,I AM A GOOFBALL,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
4CYLDSL,SMALL DIESEL ENGINE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
69GRACE,IT'S A 1969 CAMARA THAT WE HAVE NAMED GRACE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
76BLAZ,"YEAR OF TRUCK, MODEL BLAZER",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
IGAYPS,IT'S THE #ILOVEGAYPALMSPRINGS FOR TOURISM  IN THE DESERT ASSOCIATED WITH OUR WEBSITE GAYDESERTGUIDE.COM,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
FAIRYTL,FAIRY TALE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SAWCY,SAUCEY,Diverse Personal Expressions,Business and University Identities,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
GDTAHOE,INITIAL'S FOR GLORIES DIAZ AND LOCATION OF HOME,Diverse Personal Expressions,Colors and Descriptive Traits,Area code and Numbers,Personal and Family names,Diverse Personal Expressions
ANNICKA,MY NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLAUM2,BLAU IS GERMAN FOR BLUE. THE CAR IS A BLUE  BMW.,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BLUER2,"""BLUE"" REFERS TO THE COLOR BLUE. ""R2"" REFERS TO THE STAR WARS CHARACTER ""R2-D2"" (A SMALL DROID)",Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits,Diverse Personal Expressions
GMO,WHAT GRANDCHILDREN CALL THEIR GRANDMOTHER,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
NETSM4,JANETTES M4,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
NVUSGS,"THE ""NVUS"" IS MY CAR CLUB AND ""GS"" IS THE  MAKE OF MY CAR",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes
KONAKAT,KONA HAWAII IS MY FAVORITE PLACE AND KAT IS MY NICKNAME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
MELSBLU,MELA'S BLUEBERRY (BLUE CAR BELONGING TO MELA),Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BLSBAMS,BLESS BAMS BALLS??,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
I M 666,666 MARK OF THE BEAST,Area code and Numbers,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
RL HICKS,HICK DEROGATORY TERM,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLUEII,SECOND BLUE SUBARU,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BLUGENI,NAME OF VEHICLE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
DMND/BLU,BLUE IS A GANG RELATED COLOR,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
HRTSOGD,NAME OF SONG. MANY THINGS WORTHWILE TAKE SOME PAIN BUT ARE WORTH IT.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LOLPU2,LAUGH OUT LOUD P.U. (STINK) 2,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
RAT/GASR,RAT IS A NAME FOR A SNITCH OR INFORMANT,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
RAT/TIGR,"CAR IS A SUNBEAM TIGER, NOT IN CONCOURSE (SHOW) CONDITION.",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
REDWGEN,RED VW SPORTSWAGEN,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
SFBLUES,SAN FRANCISCO BLUES. BLUE IS A GANG RELATED COLOR,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Business and University Identities
WET/FLY,TYPE OF FLY FISHING W/ WET LURE NOT DRY,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
65**RED,RED IS A GANG RELATED COLOR,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits
IRENE13,FIRST NAME & VEHICLE YEAR,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
ONEAKA,ONEAKA CAN SOUND LIKE OH NIGGA OR OH NICCA,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
JCM S13,MY INITIALS PLUS THE CAR'S CHASSIS CODE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
JUN KAT,NICKNAMES OF OWNERS,Business and University Identities,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
KIKN BK,BK = BLOOD KILLER,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
LILNUTZ,A LITTLE CRAZY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LTILRED,WE CALL OUR CAR LITTLE RED.,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
LUVMY M4,M4 IS AN ASSAULT RIFLE,Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
NUT JOB,"WE ARE THE OWNERS OF STACY FARMS, ALMOND PRODUCERS, MAKING OUR JOB  A NUT JOB, HENCE THIS LICENSE PLATE IS A REFERENCE TO OUR ACTUAL JOB OF PRODUCING NUTS.",Business and University Identities,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions
PPA RED,RED = GANG COLOR,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
ROKIN88,PLATE IS FOR A 1957 OLDSMOBILE 88 ROCKING 88,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
RS 231,"PULLED FOR ""RS"" WHICH CAN MEAN ""REAL SHIT""",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
WSKI64,USS WISCONSIN BB64,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
BCHCOMR,HOBBY,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
BLU BLIT,BLUE BULLET,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
CALARMS,FIREARM CO CALIFORNIA FIREARMS,Business and University Identities,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers
GAYTAN4,LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LADBLUE,DODGER FAN,Business and University Identities,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Pet and Animal Themes,Business and University Identities
PINKEEE,PINKY MY HUSBANDS NICK NAME FOR ME,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
ROVER13,2013 RANGER ROVER CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
INAM69,I WAS IN VIET NAM IN 1969,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
YO GSTER,MY YOGA RIDE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LEESHOG,ORIGINAL GANGSTER,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations
BAD FSH3,BAD FISH IS A SONG TITLE,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
FNDFLUF,"I LOVE TO SKI AND SNOWBOARD, AND WE JOKE THAT REAL (NOT MAN MADE SNOW) IS CALLED FLUFF.",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LILRED2,OUR LITTLE RED WAGON,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
PUMPGUY,I AM AN ENGINEER WHO DESIGNS AND SELLS MUNICIPAL PUMPS- ALSO CONSULTS ON PUMP OPERATIONS- I AM THE PUMP GUY,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
PURITOS,CIGAR,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
STAR12G,MY DATE OF BIRTH AND FIESTA NAME,Area code and Numbers,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
SUPFOOS,WHATS UP FRIENDS OF OUTER SPACE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
XL MAGNM,I OWN A DODGE MAGNUM SRT8 AND IT'S A WAGON SO IT'S A BIGGER VESSEL XL MEANS LARGE MAGNUM IT'S THEIR BIG PACKAGE WITH THE BIG ENGINE THE BIGGEST ONE THEY MAKE FOR THE MAGNUM,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
YANKS 2,FAVORITE BASEBALL TEAM,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CKSWEET,IN THE NEAR FUTURE I WOULD LIKE TO SELL CUPCAKES AND WOULD LIKE FOR MY VAN TO SHOW THIS ON ITS LICENSE PLATE. THE CK STANDS FOR CAKE AND THE SWEET IS A NICE TOUCH.,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
LARJRYD,LARGE RIDE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
