index,plate,meaning,classification,string_classification
1432,WUACHAA,ITS A SLANG WORD FOR LOOK CUSTOMER MEANING IS TRUE(FROM ENGLISH WORD WATCH) BUT IN ARGENTINA IT IS USED (GUACHA) LIKE BASTARD . WUACHA HAS BEEN OUT SINCE 2006,6,"Humorous, Quirky, Personal"
1433,C8H18 X,CHEMICAL COMPOSITION OF OCTANE,2,"Sexual, Offensive, Controversial"
1434,PROFANE,CALL SIGN,1,"Humor, Personal, Playful"
1435,BLKHMR,BLACK HAMMER (NICKNAME),4,"Profanity, Drugs, Gang References"
1436,CAVERAO,means skull in Portuguese (which is slang for oral sex in English) also means Special Police Armored Vehicle in Brazil,2,"Sexual, Offensive, Controversial"
1437,PIE ASO,COMBINING THE TWO CREATES THE SOUND OF MY NICKNAME THAT IS PAYASO WHICH MEANS CLOWN IN SPANISH AND IS TAKEN ALREADY,6,"Humorous, Quirky, Personal"
1438,FYREPIG,"OWNER OF FIREPIG TACTICAL, LLC A SPECIALTY SPORTING GOODS RETAILER",7,"Sports, Teams, Regional"
1439,3BTCHES,LOOKS LIKE 3 BITCHES,8,"Sexual, Provocative"
1440,SEPPUKU,ITS THE TRADITIONAL DEATH OF A SAMURI IN JAPANESE CULTURE,4,"Profanity, Drugs, Gang References"
1441,DGRS 13,DODGERS 13,7,"Sports, Teams, Regional"
1442,OG HCAT,ORIGINAL HELLCAT,7,"Sports, Teams, Regional"
1443,BLAK 911,BLACK PORSCHE 911,0,"Weapons, Cars, Masculine Themes"
1444,L8R 5 O, LATER POLICE,1,"Humor, Personal, Playful"
1445,CRM PIE,CREAM PIE,7,"Sports, Teams, Regional"
1446,8O5HNTR,SANTA BARBARA HUNTER,1,"Humor, Personal, Playful"
1447,A113FNS,A113 IS A INSIDE MOVIE JOKE OR EASTER EGG FOR AUDIENCES TO FIND IN PIXAR MOVIES SO THE PLATE MEANS PIXAR FANS,4,"Profanity, Drugs, Gang References"
1448,OH GIZZ,ARMY UNIT/NAME,4,"Profanity, Drugs, Gang References"
1449,STLRS 18,FAVORITE FOOTBALL TEAM,7,"Sports, Teams, Regional"
1450,69 CRGR,1969 DODGE CHARGER,7,"Sports, Teams, Regional"
1451,HDL BOSS,HUSBANDS BUSSINES NAME IS HDL TRANSPORT AND BOSS FOR OWNER,0,"Weapons, Cars, Masculine Themes"
1452,SWT INDO,MY ETHNICITY IS DUTCH INDONESIAN...IT IS SHORT FOR SWEET INDONESIAN,6,"Humorous, Quirky, Personal"
1453,CUBBLUE,CHICAGO CUBS COLOR BLUE,7,"Sports, Teams, Regional"
1454,TECH9RT,ITS THE BAND TECH 9 AND MODEL OF THE CAR,4,"Profanity, Drugs, Gang References"
1455,$SMYCAT,MY DAUGHTER LOVES HER CAT. SHE ALSO LOVES HER DOG BUT THAT WAS NOT AVAILABLE.,6,"Humorous, Quirky, Personal"
1456,BBW4G$D,BIG BEAUTIFUL WOMAN FOR GOD,5,"Defiant, Rebellious, Aggressive"
1457,HLNAUSS,IM HAULING AUSS (AN AUSTRALIAN SHEPHERD- MY DOGS BREED),4,"Profanity, Drugs, Gang References"
1458,UBSALTY,SALTY IS A FUNNY WAY OF SAYING THEYRE KIND OF UPSET AND I CHOSE THIS PLATE BECAUSE PEOPLE ARE ALWAYS SURPRISED ABOUT HOW YOUNG I AM AND THE CAR I HAVE,6,"Humorous, Quirky, Personal"
1459,BGHRM88,BIG HERMAN (WHICH IS ME) 88 IS LUCKY CHINESE NUMBER,4,"Profanity, Drugs, Gang References"
1460,H BULLYS,"H FOR MY LAST NAME HIDALGO, BULLYS MY FAVORITE DOG BREED",4,"Profanity, Drugs, Gang References"
1461,HEMI 831,HEMI V8 AND MY LOCAL AREA CODE,4,"Profanity, Drugs, Gang References"
1462,I 707 I,707 HORSE POWER,4,"Profanity, Drugs, Gang References"
1463,JAF AMF,OWNERS INITIALS,1,"Humor, Personal, Playful"
1464,BGD W211,AIRMATIC AND MERCEDES BENZ MODEL NUMBER,7,"Sports, Teams, Regional"
1465,BRTHJKY,BIRTH JUNKY MEANS I LOVE BIRTH,4,"Profanity, Drugs, Gang References"
1466,IMTRIPN,I AM TRIPPING,5,"Defiant, Rebellious, Aggressive"
1467,HII H8TR,HI Hitlier,1,"Humor, Personal, Playful"
1468,WYERD SS,MY LAST NAME IS WYER.(WYER) I GO BY MY MIDDLE NAME DIANE.(D) THE CAR IS A CAMARO SUPER SPORT.(SS),6,"Humorous, Quirky, Personal"
1469,14SSLS3,MY CAR IS A 2014 CHEVY SS WITH AN LS3 ENGINE.,4,"Profanity, Drugs, Gang References"
