plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,most_common_class
GREBEL,"G IS FOR GERULA, REBEL IS THE MODEL OF RAM  TRUCK",Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations
G1111,MY FIRST INITIAL AND 11:11 MEANS MAKE A WISH,Business and University Identities,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HB2RIVR,HUNTINGTON BEACH TO THE RIVER,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,
HEMPIT,"I HAVE A ECOMMERCE BUSINESS CALLED  HEMPITMANUSA.COM 100% PURE OILS, BALMS & SUNSCREENS",Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
HIYAYA,HI GRANDMA,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
HOTROD3,THE REASON IM HOPING TO GET THIS  CUSTOMIZED PLATE IS BECAUSE ITS MY  NICKNAME. MY FRIENDS AND FAMILY CALL ME THAT. I THOUGHT ITD BE NEAT TO GET IT IN MY VEHICLE.,Vehicle and Car Descriptions and Attributes,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
ILOAN4U,LOAN OFFICER,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
IMLOCO,NO MEANING,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
JOCHOS,"JOCHOS IS ANOTHER WORD FOR HOTDOG OR WEINER, COULD BE SEXUAL",Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
KLMNJRO,MOUNT KILIMANJARO IN EAST AFRICA. THE  ROOF OF AFRICA,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
KNURD,"NURD, OFFENSIVE",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LUVDEE,LOVE DELAYNA,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LUVLTHO,LOVE LAKE TAHOE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
LYFCOCH,IM A CERTIFIED LIFE COACH THAT WORKS WITH  VETERANS DEALING WITH PTSD AND SUICIDE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
MD666,LUCKY,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MR4SPD,MR 4 SPEED TRANS,Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
RDKNIGT,"RED, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
SWTWAGN,SWEET WAGON,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes
1962S88,MODEL YEAR- 1962; MAKE OLDSMOBILE; MODEL  NAME - SUPER-88.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1969LS7,1969 CHEVELLE WITH LS7 ENGINE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
3583,SPELLS DUKE ON A TELEPHONE DAIL PAD,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
66888,HAPPY AND RICH,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
86C4,1986 CORVETTE C4,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
9598,ALL DIGITS,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers
DUCTALE,"TALE, SEXUAL REFERENCE",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
KFN8ME,CAFFEINATE ME - I DRINK A TON OF DIET COKE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ILUCYG,I LOVE LUCY GIRL,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
MUGSYD,MY WIFE'S NICKNAME FOR ME,Diverse Personal Expressions,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
TIFFCAT,MY NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BABIBLU,COLOR OF CAR,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,
JTTANKR,"TANK, WEAPON REFERENCE",Business and University Identities,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
KABLUEY,ITS FOR A BLUE CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
REDZGTI,NICKNAME AND MODEL OF VEHICLE.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
GERICAT,NAME OF CAT THAT I OWN.,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
WHLTAIL,"TAIL, ANOTHER WORD FOR ASS, SEXUAL REFERENCE",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BCME MHR,HIGH SCHOOL INITIALS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BEIJO BB,MY ONLINE BIKINI STORE NAME,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLK323I,BLACK 323I BMW,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
E ZILLA,ELECTRIC CAR HUNGRY FOR ELECTRICITY,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
HOMBOYS,CLOSE FRIENDS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
HOMBOYZ,FRIENDS AND CLOSE FAMILY,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Personal and Family names,
PHATMN1,FAMILY NICKNAME,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
18HR DYS,I WORK A LOT OF 18 HOUR DAYS IN THE FILM BUSINESS,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ABLUBNZ,BLUE MERCEDES BENZ,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BCHBROD,BEACH BROAD. GROUP OF LADIES THAT WALKS THE BEACH!,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLU BLU,"DAVID BOWIE LYRIC, SONG ""SOUND AND VISION"" - BLUE BLUE ELECTRIC BLUE",Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
JAMZ 69,MY INITIALS AND YEAR OF TRUCK,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
L78 69,MODEL AND YEAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
ZORRA 69,ITS A NICKNAME AND THE 69 IS THE YEAR OF THE CAR,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
31HYBOY,1931 HIGH BOY ROADSTER,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
22109 VS,No person shall stop or suddenly decrease the speed of a vehicle on a highway without first giving an appropriate signal in the,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,
REDSPD,MY CAR IS A RED MAZDASPEED 3,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
W3H774M,"MATTHEW"" BACKWARDS",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GOT KUSH,***THIS IS A DUPLICATE*** ONLY SAY NO IF YOU WANT TO DO A RECALL ON THIS. HAS BEEN OUT SINCE 2011. KUSH=WEED,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
LCONCHO,"""HOMETOWN""  (FROM ORIGINAL T00)",Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CIREZD,MUSIC RELATED,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DMCS69,MY INITIALS AND THE YEAR OF MY CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
HNYBUNE,HONEY BUNNY,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
MTNRED1,MOUNTAIN RED TRUCK,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1969MC1,CAR IS MADE 1969 MUSTANG MACH 1,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
69K5JB,IT GOES ON A 1969 K5 BLAZER AND MY INITIALS  ARE JB,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
MNGRL,MINNESOTA GIRL,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
G WIZZ,G AS IN GANGSTER,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations
MADFITT,OWNER'S BRAND NAME,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
SKARLTT,GRAND DAUGHTERS FIRST NAME SCARLETTE,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
CHOPER 8,COULD HAVE SEXUAL CONNOTATION,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,
C MADBALL,MY NICK NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CRS WYF,CRAIG 'S WIFE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
FLACOHP,PARENTS NICKNAME FOR ME AND THE H IS HERREJON AND P FOR PEREZ MY LAST NAMES,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
LHELYES,MY FIRST INITIAL AND LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,
LYNN G,LYNN IS MY NICKNAME AND G IS FOR GRUNDY MY LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,
MY1KITT,KNIGHT RIDER SHOW,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
MY 69BOS,PULLED FOR 69,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
NA VAS,VEHICLE IS A 1969 NOVA. NO VAS MEANS DOES NOT GO IN SPANISH BUT ALSO SIGNIFIES CHEVY NOVA,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
TAN CLAN,REPRESENTS FAMILY'S LAST NAME,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
THE4OH6,MONTANA AREA CODE,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
TONII,MY NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLUBURD,BLUE BIRD,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
